Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/S11/current/S1196/,SDN:S11::S1196,nurse,"","A developmental stage in the life cycle of doliolids (Order Doliolida). The nurse stage is the terminal life stage for doliolids, often characterized by a conspicuous tail (cadophore) sprouting small trophozooids (i.e. 'nutrition zooids') also called 'gastrozooids' (i.e., feeding buds) [[Paffenhofer and Koster, 2011](https://doi.org/10.1093/plankt/fbr001); [Greer et al 2020](https://doi.org/10.1002/lno.11450)].",1,false,2021-08-24 12:13:11.0
http://vocab.nerc.ac.uk/collection/S11/current/S1185/,SDN:S11::S1185,middle stage eggs,"",An embryonic development stage from the beginning to the end of gastrulation.,1,false,2021-04-28 14:30:00.0
http://vocab.nerc.ac.uk/collection/S11/current/S1182/,SDN:S11::S1182,chalimus,"",The life stages of parasitic copepod species marked by their secure attachment to a host by a frontal filament. The chalimus stages follow the free-swimming copepodid stage and precede the pre-adult stages (sometimes referred to as 'sub-adult') where the organism is capable of detaching from its filament to move across the surface of its host.,2,false,2021-03-23 14:41:41.0
http://vocab.nerc.ac.uk/collection/S11/current/S1176/,SDN:S11::S1176,metacercaria,"",A resting late larval stage of the digenetic trematodes (digeneans) with a three-host life cycle. It is a tailless stage which develops in the intermediate host either encysted in a cyst or encapsulated in a layer of host tissue. This is usually the form which is infective to the definitive host when it ingests the infected intermediate host.,1,false,2019-08-23 13:10:12.0
http://vocab.nerc.ac.uk/collection/S11/current/S1192/,SDN:S11::S1192,trochophore,"",Free-swimming planktonic marine larva occurring in the first developmental stage of Molluscs and certain marine annelids. The trochophore is the developmental stage prior to veliger.,1,false,2021-08-24 11:19:16.0
http://vocab.nerc.ac.uk/collection/S11/current/S1178/,SDN:S11::S1178,cercaria,"",A free-swimming larval stage of trematodes (also known as parasitic flatworms or flukes) during which the parasitic fluke typically passes from an intermediate host (often a snail) to another intermediate host or to the final vertebrate host. Cercaria can develop from the sporocyst stage or from the redial stage of the trematode depending on species.,1,false,2019-08-23 13:28:43.0
http://vocab.nerc.ac.uk/collection/S11/current/S1191/,SDN:S11::S1191,praniza,"",The juvenile form of a family of marine isopod crustaceans known as Gnathiidae. The adults are associated with sponges and occur in a wide range of depths. The praniza 'larva' is a temporary parasite of marine fishes.,1,false,2021-08-23 21:51:36.0
http://vocab.nerc.ac.uk/collection/S11/current/S1180/,SDN:S11::S1180,pupa,"",An organism at the pupal stage. A life stage of some insects undergoing a complete metamorphosis between immature (larva) and mature (adult or imago) stages.,1,false,2019-11-15 17:58:54.0
http://vocab.nerc.ac.uk/collection/S11/current/S1186/,SDN:S11::S1186,late stage eggs,"",An embryonic development stage from the end of gastrulation to hatching.,1,false,2021-04-28 14:30:02.0

